timeStartedCalc, requestNum, timeFinishedCalc, numToCalc, timeRequestReceived, ServerName, 
1536648382.25, 29, 1536648382.25, 1111111111, 1536648382.25, UsainBolt, 
1536648382.27, 173, 1536648382.27, 2222222222, 1536648382.26, Slowpoke, 
1536648382.27, 30, 1536648382.27, 29292929292929292929, 1536648382.27, UsainBolt, 
1536648382.3, 174, 1536648382.3, 51515151515151515151, 1536648382.28, Slowpoke, 
1536648382.29, 175, 1536648382.29, 3333333333, 1536648382.28, Slowpoke, 
1536648382.3, 31, 1536648382.3, 24242424242424242424, 1536648382.29, UsainBolt, 
1536648382.31, 32, 1536648382.31, 25252525252525252525, 1536648382.29, UsainBolt, 
1536648382.32, 33, 1536648382.32, 26262626262626262626, 1536648382.29, UsainBolt, 
1536648382.29, 176, 1536648382.29, 53535353535353535353, 1536648382.29, Slowpoke, 
1536648382.3, 34, 1536648382.3, 22222222222222222222, 1536648382.3, UsainBolt, 
1536648382.31, 35, 1536648382.31, 21212121212121212121, 1536648382.3, UsainBolt, 
1536648382.31, 36, 1536648382.31, 23232323232323232323, 1536648382.3, UsainBolt, 
1536648382.32, 37, 1536648382.32, 40404040404040404040, 1536648382.3, UsainBolt, 
1536648382.31, 177, 1536648382.31, 57575757575757575757, 1536648382.3, Slowpoke, 
1536648382.31, 178, 1536648382.31, 56565656565656565656, 1536648382.3, Slowpoke, 
1536648382.31, 179, 1536648382.31, 52525252525252525252, 1536648382.31, Slowpoke, 
1536648382.32, 38, 1536648382.32, 12121212121212121212, 1536648382.31, UsainBolt, 
1536648382.46, 180, 1536648382.46, 58585858585858585858, 1536648382.46, Slowpoke, 
1536648382.46, 181, 1536648382.46, 59595959595959595959, 1536648382.46, Slowpoke, 
1536648383.4, 182, 1536648383.4, 9999999999, 1536648383.4, Slowpoke, 
1536648392.27, 39, 1536648392.27, 68686868686868686868, 1536648392.27, UsainBolt, 
1536648392.27, 183, 1536648392.27, 10101010101010101010, 1536648392.27, Slowpoke, 
1536648392.28, 40, 1536648392.28, 69696969696969696969, 1536648392.28, UsainBolt, 
1536648392.32, 184, 1536648392.32, 6666666666, 1536648392.32, Slowpoke, 
1536648392.32, 41, 1536648392.32, 83838383838383838383, 1536648392.32, UsainBolt, 
1536648392.33, 185, 1536648392.33, 4444444444, 1536648392.33, Slowpoke, 
1536648392.33, 186, 1536648392.33, 50505050505050505050, 1536648392.33, Slowpoke, 
1536648392.34, 42, 1536648392.34, 62626262626262626262, 1536648392.33, UsainBolt, 
1536648392.34, 43, 1536648392.34, 92929292929292929292, 1536648392.33, UsainBolt, 
1536648392.34, 44, 1536648392.34, 94949494949494949494, 1536648392.33, UsainBolt, 
1536648392.33, 187, 1536648392.33, 5555555555, 1536648392.33, Slowpoke, 
1536648392.34, 45, 1536648392.34, 87878787878787878787, 1536648392.33, UsainBolt, 
1536648392.34, 188, 1536648392.34, 7777777777, 1536648392.33, Slowpoke, 
1536648392.34, 46, 1536648392.34, 91919191919191919191, 1536648392.34, UsainBolt, 
1536648392.34, 189, 1536648392.34, 11111111111111111111, 1536648392.34, Slowpoke, 
1536648392.34, 47, 1536648392.34, 89898989898989898989, 1536648392.34, UsainBolt, 
1536648392.35, 48, 1536648392.35, 96969696969696969696, 1536648392.34, UsainBolt, 
1536648392.47, 190, 1536648392.47, 54545454545454545454, 1536648392.47, Slowpoke, 
1536648392.48, 191, 1536648392.48, 8888888888, 1536648392.48, Slowpoke, 
1536648393.42, 192, 1536648393.42, 100100100100100100100100100100, 1536648393.42, Slowpoke, 
1536648402.28, 49, 1536648402.28, 27272727272727272727, 1536648402.28, UsainBolt, 
1536648402.29, 50, 1536648402.29, 28282828282828282828, 1536648402.29, UsainBolt, 
1536648402.31, 193, 1536648402.31, 55555555555555555555, 1536648402.31, Slowpoke, 
1536648402.33, 194, 1536648402.33, 60606060606060606060, 1536648402.33, Slowpoke, 
1536648402.36, 51, 1536648402.36, 19191919191919191919, 1536648402.36, UsainBolt, 
1536648402.36, 52, 1536648402.36, 17171717171717171717, 1536648402.36, UsainBolt, 
1536648402.36, 53, 1536648402.36, 18181818181818181818, 1536648402.36, UsainBolt, 
1536648402.38, 54, 1536648402.38, 63636363636363636363, 1536648402.36, UsainBolt, 
1536648402.38, 55, 1536648402.38, 31313131313131313131, 1536648402.36, UsainBolt, 
1536648402.37, 56, 1536648402.37, 20202020202020202020, 1536648402.36, UsainBolt, 
1536648402.37, 57, 1536648402.37, 41414141414141414141, 1536648402.37, UsainBolt, 
1536648402.37, 58, 1536648402.37, 16161616161616161616, 1536648402.37, UsainBolt, 
1536648412.29, 59, 1536648412.29, 15151515151515151515, 1536648412.29, UsainBolt, 
1536648412.31, 60, 1536648412.31, 14141414141414141414, 1536648412.31, UsainBolt, 
1536648412.38, 61, 1536648412.38, 13131313131313131313, 1536648412.37, UsainBolt, 
1536648412.39, 62, 1536648412.39, 30303030303030303030, 1536648412.38, UsainBolt, 
1536648412.39, 63, 1536648412.39, 39393939393939393939, 1536648412.38, UsainBolt, 
1536648412.39, 64, 1536648412.39, 32323232323232323232, 1536648412.38, UsainBolt, 
1536648412.39, 65, 1536648412.39, 33333333333333333333, 1536648412.39, UsainBolt, 
1536648412.39, 66, 1536648412.39, 34343434343434343434, 1536648412.39, UsainBolt, 
1536648412.4, 67, 1536648412.4, 35353535353535353535, 1536648412.4, UsainBolt, 
1536648412.41, 68, 1536648412.41, 37373737373737373737, 1536648412.41, UsainBolt, 
1536648422.3, 69, 1536648422.3, 61616161616161616161, 1536648422.3, UsainBolt, 
1536648422.32, 70, 1536648422.32, 42424242424242424242, 1536648422.32, UsainBolt, 
1536648422.39, 71, 1536648422.39, 43434343434343434343, 1536648422.39, UsainBolt, 
1536648422.4, 72, 1536648422.4, 67676767676767676767, 1536648422.4, UsainBolt, 
1536648422.41, 73, 1536648422.41, 70707070707070707070, 1536648422.4, UsainBolt, 
1536648422.41, 74, 1536648422.41, 99999999999999999999, 1536648422.41, UsainBolt, 
1536648422.41, 75, 1536648422.41, 97979797979797979797, 1536648422.41, UsainBolt, 
1536648422.42, 76, 1536648422.42, 93939393939393939393, 1536648422.42, UsainBolt, 
1536648422.42, 77, 1536648422.42, 95959595959595959595, 1536648422.42, UsainBolt, 
1536648422.42, 78, 1536648422.42, 98989898989898989898, 1536648422.42, UsainBolt, 
1536648432.31, 79, 1536648432.31, 77777777777777777777, 1536648432.31, UsainBolt, 
1536648432.33, 80, 1536648432.33, 80808080808080808080, 1536648432.33, UsainBolt, 
1536648432.4, 81, 1536648432.4, 81818181818181818181, 1536648432.4, UsainBolt, 
1536648432.41, 82, 1536648432.41, 82828282828282828282, 1536648432.41, UsainBolt, 
1536648432.42, 83, 1536648432.42, 90909090909090909090, 1536648432.42, UsainBolt, 
1536648432.42, 84, 1536648432.42, 88888888888888888888, 1536648432.42, UsainBolt, 
1536648432.43, 85, 1536648432.43, 72727272727272727272, 1536648432.43, UsainBolt, 
1536648432.44, 86, 1536648432.44, 76767676767676767676, 1536648432.44, UsainBolt, 
1536648432.44, 87, 1536648432.44, 36363636363636363636, 1536648432.44, UsainBolt, 
1536648432.44, 88, 1536648432.44, 71717171717171717171, 1536648432.44, UsainBolt, 
1536648442.32, 89, 1536648442.32, 38383838383838383838, 1536648442.32, UsainBolt, 
1536648442.34, 90, 1536648442.34, 44444444444444444444, 1536648442.34, UsainBolt, 
1536648442.41, 91, 1536648442.41, 45454545454545454545, 1536648442.41, UsainBolt, 
1536648442.42, 92, 1536648442.42, 46464646464646464646, 1536648442.42, UsainBolt, 
1536648442.43, 93, 1536648442.43, 47474747474747474747, 1536648442.43, UsainBolt, 
1536648442.44, 94, 1536648442.44, 49494949494949494949, 1536648442.43, UsainBolt, 
1536648442.44, 95, 1536648442.44, 48484848484848484848, 1536648442.44, UsainBolt, 
1536648442.45, 96, 1536648442.45, 74747474747474747474, 1536648442.45, UsainBolt, 
1536648442.46, 97, 1536648442.46, 75757575757575757575, 1536648442.46, UsainBolt, 
1536648442.46, 98, 1536648442.46, 73737373737373737373, 1536648442.46, UsainBolt, 
1536648452.33, 99, 1536648452.33, 79797979797979797979, 1536648452.33, UsainBolt, 
1536648452.35, 100, 1536648452.35, 78787878787878787878, 1536648452.35, UsainBolt, 
1536648452.42, 101, 1536648452.42, 84848484848484848484, 1536648452.42, UsainBolt, 
1536648452.43, 102, 1536648452.43, 86868686868686868686, 1536648452.43, UsainBolt, 
1536648452.46, 103, 1536648452.46, 85858585858585858585, 1536648452.46, UsainBolt, 
1536648452.46, 104, 1536648452.46, 66666666666666666666, 1536648452.46, UsainBolt, 
1536648452.46, 105, 1536648452.46, 65656565656565656565, 1536648452.46, UsainBolt, 
1536648452.47, 106, 1536648452.47, 64646464646464646464, 1536648452.47, UsainBolt, 